invoice_id,vendor_id,vendor_name,issue_date,due_date,amount,currency,status,po_number,period,line_description,line_items,payment_status,paid_amount,balance_due,payment_date,payment_reference,dispute_status,dispute_reason,approved_by,terms,contract_reference,source_system,exchange_rate,amount_usd
INV-1001,datadog,"Data Dog, Inc.",04/30/2026,05/30/2026,"$21,000.00",USD,paid,PO-1051,2026-04,"April observability platform base subscription","[{""sku"":""APM-BASE"",""description"":""April committed hosts"",""amount"":21000}]",paid,21000,0,2026-05-24,ACH-9081,,,A. Patel,Net 30,DD-2026-MSA,NetSuite,1,21000
INV-1002,aws,Amazon Web Svcs,2026/04/30,2026/05/30,28000,USD,paid,PO-1042,2026-04,"April cloud infrastructure and support","[{""description"":""EC2 and data transfer"",""amount"":28000}]",paid,28000,0,05/29/2026,WIRE-4208,,,M. Chen,Net 30,AWS-EDP-2026,Stripe AP,1,28000
INV-1003,snowflake,Snowflake,30-Apr-2026,30-May-2026,9000,USD,paid,PO-1039,2026-04,"April data warehouse commit","[{""description"":""Monthly capacity commitment"",""amount"":9000}]",paid,9000,0,2026-05-28,ACH-9102,,,L. Wong,Net 30,SNOW-2026-04,NetSuite,1,9000
INV-1004,salesforce,Sales Force,Apr 30 2026,May 30 2026,6200,USD,paid,,2026-04,"April CRM seats; PO missing in AP export","[{""description"":""Sales Cloud seats"",""amount"":6200}]",paid,6200,0,2026-05-27,ACH-9115,,,J. Miller,Net 30,SFDC-2026,Salesforce Billing,1,6200
INV-1005,datadog,Datadog,05/31/2026,06/06/2026,21500,USD,partial,,2026-05,"May overage usage true-up above contracted host tier","[{""sku"":""APM-OVERAGE"",""description"":""Host overage true-up"",""amount"":12500},{""sku"":""LOG-RETENTION"",""description"":""Log retention add-on"",""amount"":9000}]",partial,10000,11500,2026-06-04,ACH-9201,,,A. Patel,Due on receipt,DD-2026-MSA,NetSuite,1,21500
INV-1005,datadog,"DataDog Inc",2026-05-31,2026-06-06,21480,USD,open,,2026-05,"Corrected copy from vendor portal with slightly different total","[{""sku"":""APM-OVERAGE"",""description"":""Host overage true-up"",""amount"":12480},{""sku"":""LOG-RETENTION"",""description"":""Log retention add-on"",""amount"":9000}]",open,0,21480,,,,,A. Patel,Due on receipt,DD-2026-MSA,Vendor portal,1,21480
CM-2201,datadog,Datadog,2026-06-02,2026-06-02,"($1,250.00)",USD,credit,PO-1051,2026-05,"Credit for April logging overbill","[{""description"":""April logging credit"",""amount"":-1250}]",credit,0,-1250,2026-06-02,CM-2201,,,A. Patel,Immediate,DD-2026-MSA,NetSuite,1,-1250
INV-1006,aws,AWS,5/31/26,Jun 05 2026,28500,USD,overdue,,2026-05,"May cloud usage; payment delayed pending cash sweep","[{""description"":""EC2 reserved instances"",""amount"":18000},{""description"":""Data transfer"",""amount"":10500}]",overdue,0,28500,,,,,M. Chen,Net 5,AWS-EDP-2026,Stripe AP,1,28500
INV-1007,snowflake,Snowflake,2026.05.31,2026.06.30,9000,USD,open,PO-1039,2026-05,"May warehouse capacity commitment","[{""description"":""Monthly capacity commitment"",""amount"":9000}]",open,0,9000,,,,,L. Wong,Net 30,SNOW-2026-04,NetSuite,1,9000
INV-1008,gong,Gong.io,2026-05-31,2026-06-30,1200,USD,partial,,2026-05,"Call recording add-on billed separately from renewal","[{""description"":""Recording storage add-on"",""amount"":1200}]",partial,600,600,2026-06-10,CARD-7716,,,S. Iyer,Net 30,GONG-2026,Card feed,1,1200
INV-1009,pinecone,Pinecone Systems,2026-05-20,2026-06-19,4800,USD,open,,2026-05,"Vector DB overage with no approved PO","[{""description"":""Index storage overage"",""amount"":4800}]",open,0,4800,,,,,K. Nguyen,Net 30,PINE-TRIAL-2026,Vendor portal,1,4800
INV-1010,,Beta Robotics Parts,2026-05-18,2026-06-17,12600,USD,open,,2026-05,"Prototype motor assemblies shipped without vendor master id","[{""description"":""Prototype actuator batch"",""amount"":12600}]",open,0,12600,,,,,R. Singh,Net 30,,Email PDF,1,12600
INV-1012,salesforce,SFCI Sales Cloud,2026-05-31,,6800,USD,disputed,,2026-05,"Seat true-up includes nine inactive users under dispute","[{""description"":""Sales Cloud true-up"",""amount"":6800}]",disputed,0,6800,,,"owner_review","RevOps disputes inactive-seat true-up; vendor has not provided seat export",J. Miller,Net 30,SFDC-2026,Salesforce Billing,1,6800
INV-1013,figma,Figma EMEA,31/05/2026,30/06/2026,1100,EUR,open,,2026-05,"Design licenses billed by EMEA reseller in EUR","[{""description"":""Editor seats"",""amount"":900},{""description"":""FigJam seats"",""amount"":200}]",open,0,1199,,,,,P. Lewis,Net 30,FIGMA-2026,Email PDF,1.09,1199
INV-1014,acme-analytics,"ACME Analytics LLC",2026-05-28,2026-06-12,21800,USD,open,,2026-05,"Annual analytics pilot deposit not tied to board approval","[{""description"":""Annual platform deposit"",""amount"":18000},{""description"":""Implementation"",""amount"":3800}]",open,0,21800,,,,,M. Chen,Net 15,ACME-ANALYTICS-2026,Procurement inbox,1,21800
INV-1015,rippling,Rippling,2026-05-31,,3750,GBP,partial,,2026-05,"UK contractor payroll admin and FX fee; due date missing","[{""description"":""UK contractor admin"",""amount"":3500},{""description"":""FX processing fee"",""amount"":250}]",partial,1000,3763,2026-06-07,WIRE-4301,,,N. Davis,Due on payroll release,RIP-2026,Payroll export,1.27,4763
INV-1011,gong,Gong,2026/05/31,2026/06/30,not available,USD,open,PO-1060,2026-05,"Malformed amount row from OCR export","[{""description"":""OCR failed amount"",""amount"":""not available""}]",open,0,,,,,,S. Iyer,Net 30,GONG-2026,OCR export,1,
